EXIOBASE_code,EXIOBASE_industry_code,Year,Deforestation_area_ha
BE,i01.d,2003,14.690671442739767
BE,i01.d,2004,33.29104913655371
BE,i01.d,2005,15.773728057740664
BE,i01.d,2006,10.917204691235595
BE,i01.d,2007,10.788403218673857
BE,i01.d,2008,24.573858293393478
BE,i01.d,2009,5.724457998499376
BE,i01.d,2010,5.087925874115001
BE,i01.d,2011,9.17725269443808
BE,i01.d,2012,54.33902482636168
BE,i01.d,2013,16.44109975935012
BE,i01.d,2014,34.581992288475234
BE,i01.d,2015,47.203098460457895
BE,i01.d,2016,97.44350274966989
BE,i01.d,2017,104.73879725455554
BE,i01.d,2018,71.21605779664382
BE,i01.d,2019,122.75118765596032
BE,i01.d,2020,41.86135872307411
BE,i01.d,2021,86.23708065316742
BE,i01.d,2022,41.89811793101853
BE,i01.e,2001,8.2633900768033
BE,i01.e,2002,18.309173875203864
BE,i01.e,2003,5.276530145516671
BE,i01.e,2004,25.1157155099774
BE,i01.e,2005,16.27948731403734
BE,i01.e,2006,1.304649826397057
BE,i01.e,2007,1.339477434564761
BE,i01.e,2008,2.885911732097733
BE,i01.e,2009,6.214656352866855
BE,i01.e,2010,6.387688575889115
BE,i01.e,2011,5.091431920379447
BE,i01.e,2012,5.504999359909272
BE,i01.e,2013,4.89725726070255
BE,i01.e,2014,8.828290149331703
BE,i01.e,2015,1.9421461615549778
BE,i01.e,2016,0.7921420754758893
BE,i01.e,2017,3.152594514058773
BE,i01.e,2018,1.4525133060407884
BE,i01.e,2019,3.3537075644574226
BE,i01.e,2020,2.143843169106221
BE,i01.e,2021,2.761285833722109
BE,i01.e,2022,1.5364424623938555
BE,i01.f,2001,7.34697372038466e-16
BE,i01.f,2002,2.148869040084393e-16
BE,i01.f,2003,1.918282026587388e-17
BE,i01.f,2004,0.0
BE,i01.f,2005,1.665292349869035e-15
BE,i01.f,2006,0.0
BE,i01.f,2007,0.0
BE,i01.f,2008,2.959583286674831e-17
BE,i01.f,2009,0.0
BE,i01.f,2010,0.7816689828238503
BE,i01.f,2011,1.395851717244e-16
BE,i01.f,2012,2.322082389146698e-16
BE,i01.f,2013,0.0
