,ISO,FAO,Deforestation_hectares,Size,ISO2
2301,ESP,201,2.935482068232084,101.82641666666667,ES
2302,ESP,205,1.180561490679115,101.82641666666667,ES
2303,ESP,211,121.7284114767633,319.689,ES
2304,ESP,220,2.737294961343532,330.1936666666667,ES
2305,ESP,221,134.7355065362331,947.483,ES
2306,ESP,222,2.714397331280796,57.30233333333334,ES
2307,ESP,223,3.347086424123204,463.1300277777778,ES
2308,ESP,225,0.09753827666727913,22.415333333333333,ES
2309,ESP,234,42.70832178454894,21.326,ES
2310,ESP,236,0.4398757628285243,2.1936666666666667,ES
2311,ESP,260,103.7623185347517,8709.251,ES
2312,ESP,270,32.0743402465788,72.20466666666667,ES
2313,ESP,280,0.5163334871321841,1839.8031333333333,ES
2314,ESP,296,0.1179382108570544,1839.8031333333333,ES
2315,ESP,328,1.765846562814366,138.93066666666667,ES
2316,ESP,333,0.1797052605692934,1839.8031333333333,ES
2317,ESP,339,18.3278135559277,15.355,ES
2318,ESP,358,6.720488082899243,78.03466666666667,ES
2319,ESP,366,0.08155133252451303,153.03766666666667,ES
2320,ESP,367,1.685888052764425,136.40466666666666,ES
2321,ESP,372,0.3539996177602674,319.545,ES
2322,ESP,373,0.8152096588549382,56.59733333333334,ES
2323,ESP,388,1.439317925299492,2071.054666666667,ES
2324,ESP,393,5.090459506069455,365.4253333333333,ES
2325,ESP,394,2.678185513376422,381.492,ES
2326,ESP,397,0.1656559260656787,350.048,ES
2327,ESP,399,0.03093181457696139,127.64966666666668,ES
2328,ESP,401,2.452421634183152,1097.7163333333333,ES
2329,ESP,403,1.898278049235829,401.2416666666667,ES
2330,ESP,406,4.41790158788706,374.94033333333334,ES
2331,ESP,407,0.2289156625444728,59.358666666666664,ES
2332,ESP,414,0.04456947245778391,186.22666666666666,ES
2333,ESP,417,3.526792248418911,84.65633333333332,ES
2334,ESP,420,0.4245871684340919,43.67066666666666,ES
2335,ESP,426,0.4913276782656594,129.475,ES
2336,ESP,459,0.0134449560377042,4.831666666666667,ES
2337,ESP,461,0.296968414938063,463.1300277777778,ES
2338,ESP,463,2.273043095346979,25.252,ES
2339,ESP,486,0.03303668946142722,201.96,ES
2340,ESP,490,1.914169117594507,1019.493,ES
2341,ESP,497,7.650594703302808,639.776,ES
2342,ESP,507,0.7033114779631393,21.524,ES
2343,ESP,512,0.2357508780143895,0.712,ES
2344,ESP,523,0.008255674759993809,463.1300277777778,ES
2345,ESP,526,0.848350041157482,148.317,ES
2346,ESP,530,0.04595095100859029,0.5435,ES
2347,ESP,531,1.81713553198008,176.979,ES
2348,ESP,541,0.2989655728976696,6.525,ES
2349,ESP,542,2.170369792179827,12.434,ES
2350,ESP,544,0.3424300308399063,520.7193333333333,ES
2351,ESP,547,0.49029692773548,233.488,ES
2352,ESP,549,0.004717528434282177,463.1300277777778,ES
2353,ESP,550,0.01364969964276077,0.11566666666666667,ES
2354,ESP,552,1.792120121700129,178.47133333333335,ES
2355,ESP,558,0.03632496894397276,12.2255,ES
2356,ESP,560,2.086175520540674,6015.997666666667,ES
2357,ESP,567,3.508886248589516,406.1253333333333,ES
2358,ESP,568,0.11389976294767,258.03433333333334,ES
2359,ESP,569,3.100781831685283,52.965666666666664,ES
2360,ESP,572,5.050815958332864,155.471,ES
2361,ESP,587,1.216178830357945,463.1300277777778,ES
2362,ESP,592,0.1150261418114143,23.33533333333333,ES
2363,ESP,603,15.56326152539439,778.1095,ES
2364,ESP,619,0.3023935726374875,463.1300277777778,ES
2365,ESP,677,0.08637177012125512,4.831666666666667,ES
2366,ESP,689,0.1335060546901856,4.831666666666667,ES
2367,ESP,711,1.059792762761491,4.831666666666667,ES
2368,ESP,723,0.1243068742433353,4.831666666666667,ES
2369,ESP,748,0.00188701137371287,68.20511111111112,ES
2370,ESP,773,0.004952163606420434,68.20511111111112,ES
2371,ESP,777,0.3248465933130188,0.376,ES
2372,ESP,919,69.0301325784057,3554.2567880450324,ES
2373,ESP,1806,1311.572518989708,3677.753,ES
2374,ESP,6716,431.1111111111007,7108.513576090065,ES
2375,EST,15,137.4108828001815,90.6,EE
2376,EST,44,91.9712237513506,63.13466666666666,EE
2377,EST,71,83.86468735728035,5.537,EE
2378,EST,75,84.66051742129278,13.392,EE
2379,EST,89,5.397377587444033,25.08088095238096,EE
2380,EST,97,18.62719225671719,2.235,EE
2381,EST,103,0.09307161992179995,0.2485,EE
2382,EST,108,33.40566298718677,0.419,EE
2383,EST,176,29.11787578326774,8.023,EE
2384,EST,181,107.8161557072228,5.802,EE
2385,EST,187,54.79892455658783,18.209,EE
2386,EST,211,0.240161456383833,0.058,EE
2387,EST,270,46.92464958254219,49.78033333333334,EE
2388,EST,333,0.6953723305115079,0.023,EE
2389,EST,339,46.99787217405442,1.259,EE
2390,EST,388,0.04338505769383807,0.3846666666666667,EE
2391,EST,393,0.3652156092903572,0.868,EE
2392,EST,397,0.01566902827976161,3.8505,EE
2393,EST,403,0.08677011538767615,0.034,EE
2394,EST,406,0.08677011538767614,0.3045,EE
2395,EST,417,0.3182018050659278,0.5595,EE
2396,EST,463,0.3640035800375386,1.5157083333333332,EE
2397,EST,515,0.5640057500198951,0.682,EE
2398,EST,544,0.6964812076587756,4.4345,EE
2399,EST,547,0.04338505769383808,0.414,EE
2400,EST,550,0.2205412180722123,0.446,EE
2401,EST,558,2.424888332402431,2.72,EE
2402,EST,6716,13.2,153.12360098114226,EE
2403,ETH,15,1164.547436664331,1522.1246666666668,ET
2404,ETH,27,108.0600271918624,67.565,ET
