Company,Date,total_score,env_score,soc_score,gov_score,orga_score,policy_score,practice_score,practice_self_score,practice_ext_score,practice_cert_score,sust_policy_score,landbank_score,cert_standards_score,def_biodiv_score,hcv_hcs_score,soils_fire_score,water_chemicals_score,community_land_labour_score,smallholders_suppliers_score,gov_grievance_score,Parent company,Subsidiaries,Bloomberg ticker,Thomson Reuters ticker,Sedol,RSPO Member,Location,Sustainability Report,SR Year
Groupe Blattner Elwyn,Mar-21,0.8,1.16,1.45,0,3.7,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,,,,,,,"Democratic Republic of the Congo (Yalusaka, Bas-Fleuve, Lisala, Bongandanga)",,
Groupe Blattner Elwyn,Nov-19,0.9,1.22,1.41,0,3.7,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,,,,,,,"Democratic Republic of the Congo (Yalusaka, Bas-Fleuve, Lisala, Bongandanga)",,
Guangdong Guangken Rubber Group Co Ltd (广东省广垦橡胶集团有限公司),Mar-23,0.3,0.35,0.43,0,1.19,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,Guangdong Agribusiness Group Corporation,Thai Hua Rubber Company Ltd,0793645D CH Equity,,,,"China (Guangdong), Indonesia, Malaysia, Thailand",,
Guangdong Guangken Rubber Group Co Ltd (广东省广垦橡胶集团有限公司),Mar-22,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Guangdong Agribusiness Group Corporation,Thai Hua Rubber Company Ltd,0793645D CH Equity,,,,"China (Guangdong), Indonesia, Malaysia, Thailand",,
HAGL Group,Mar-23,7,4.11,9.57,6.76,15.48,5.56,3.41,3.41,0,0,22.7,8.6,0,0,0,4.6,5.4,15.8,0,0,,HAGL International Agriculture Joint Stock Company (HAGL Agrico),HAG VN Equity,HAG.HM,,,"Cambodia, Lao People's Democratic Republic, Viet Nam",http://www.hagl.com.vn/UserFiles/file/25_7_19/AR2018%20HAGL%20Single.pdf,2018
HAGL Group,Mar-22,8,4.7,10.71,6.58,16.67,5.63,4.82,4.82,0,0,-,-,-,-,-,-,-,-,-,-,,HAGL International Agriculture Joint Stock Company (HAGL Agrico),HAG VN Equity,HAG.HM,,,"Cambodia, Lao People's Democratic Republic, Viet Nam",http://www.hagl.com.vn/UserFiles/file/25_7_19/AR2018%20HAGL%20Single.pdf,2018
HAGL Group,Mar-21,12.4,7.27,18.57,10,25.86,9.8,6.4,6.4,0,0,-,-,-,-,-,-,-,-,-,-,,HAGL International Agriculture Joint Stock Company (HAGL Agrico),HAG VN Equity,HAG.HM,,,"Cambodia, Lao People's Democratic Republic, Viet Nam",http://www.hagl.com.vn/UserFiles/file/25_7_19/AR2018%20HAGL%20Single.pdf,2018
HAGL Group,Nov-19,12.1,8.23,17.01,12.5,24.14,8.33,8.14,8.14,0,0,-,-,-,-,-,-,-,-,-,-,,HAGL International Agriculture Joint Stock Company (HAGL Agrico),HAG VN Equity,HAG.HM,,,"Cambodia, Lao People's Democratic Republic, Viet Nam",http://www.hagl.com.vn/UserFiles/file/25_7_19/AR2018%20HAGL%20Single.pdf,2018
Halcyon Agri,Mar-23,66.3,60.55,70.38,67.03,77.78,77.85,44.23,27.15,17.08,0,90.9,63.2,42.1,53.1,54.6,60.7,64.1,78.3,68.8,85.7,,"Corrie MacColl, Halcyon Rubber Company",HACL SP Equity,HALC.SI,,,"Cameroon (Niete, Meyomessala), Malaysia (Kelantan), Côte d'Ivoire (Abidjan), Indonesia (Kalimantan, Jambi, North Sumatra, South Sumatra, Bintan Island), Thailand, China (Hannan, Junnan)",https://www.halcyonagri.com/wp-content/uploads/2022/04/Halcyon_Corporate_Report_2021.pdf,2021
Halcyon Agri,Mar-22,70.9,64.11,72.6,63.19,78.95,79.11,52.83,31.6,21.23,0,-,-,-,-,-,-,-,-,-,-,,"Corrie MacColl, Halcyon Rubber Company",HACL SP Equity,HALC.SI,,,"Cameroon (Niete, Meyomessala), Malaysia (Kelantan), Côte d'Ivoire (Abidjan), Indonesia (Kalimantan, Jambi, North Sumatra, South Sumatra, Bintan Island), Thailand, China (Hannan, Junnan)",https://www.halcyonagri.com/wp-content/uploads/2022/04/Halcyon_Corporate_Report_2021.pdf,2021
Halcyon Agri,Mar-21,77.7,72.87,82.46,77,78.57,89.22,62.5,39.38,23.13,0,-,-,-,-,-,-,-,-,-,-,,"Corrie MacColl, Halcyon Rubber Company",HACL SP Equity,HALC.SI,,,"Cameroon (Niete, Meyomessala), Malaysia (Kelantan), Côte d'Ivoire (Abidjan), Indonesia (Kalimantan, Jambi, North Sumatra, South Sumatra, Bintan Island), Thailand, China (Hannan, Junnan)",https://www.halcyonagri.com/wp-content/uploads/2022/04/Halcyon_Corporate_Report_2021.pdf,2021
Halcyon Agri,Nov-19,69.6,62.99,76.81,59.38,67.86,82.98,55,25.63,29.38,0,-,-,-,-,-,-,-,-,-,-,,"Corrie MacColl, Halcyon Rubber Company",HACL SP Equity,HALC.SI,,,"Cameroon (Niete, Meyomessala), Malaysia (Kelantan), Côte d'Ivoire (Abidjan), Indonesia (Kalimantan, Jambi, North Sumatra, South Sumatra, Bintan Island), Thailand, China (Hannan, Junnan)",https://www.halcyonagri.com/wp-content/uploads/2022/04/Halcyon_Corporate_Report_2021.pdf,2021
Hankook Tire & Technology,Mar-23,55.1,41.67,53.57,62.1,55.77,60.78,45.31,9.38,35.94,0,97.5,10,60,42.5,40,66.7,43.2,80.4,28.6,78.6,"Hankook & Company Co., Ltd.",,161390 KS Equity,,,,"Republic of Korea (Daejeon, Chungcheongnam-do), Indonesia (Java Barat), United States of America (Tennessee), China (Zhejiang, Jiangsu, Chongqing), Hungary",https://bit.ly/3UrH8Kv,2021
Hankook Tire & Technology,Mar-22,51.7,38.19,51.89,56.9,52.08,58,41.13,4.84,36.29,0,-,-,-,-,-,-,-,-,-,-,"Hankook & Company Co., Ltd.",,161390 KS Equity,,,,"Republic of Korea (Daejeon, Chungcheongnam-do), Indonesia (Java Barat), United States of America (Tennessee), China (Zhejiang, Jiangsu, Chongqing), Hungary",https://bit.ly/3UrH8Kv,2021
